Hello everybody! I updated the overview sheet with a guide on unfinished items/guidelines before asking me to P/C. Please read that before messaging me!,,,,,,,,,,,,,,,,,,,,,,,,,
Scrolls,,,,,,,,Woah you found a secret!,,,,,,,,,,,,,,,,,
Earring for HP,,,150k+,,100k+,,,,Assassinate,2.5-8m,590m,,,,,,,,,,,,,,
Eye for HP,<100k,,<40k,,<20k,,,,Boomerang Step,0,8m,,,,,,,,,,,,,,
Face for HP,,,400k,,,,,,Smokescreen,5-10m,35m,,,,,,,,,,,,,,
Pet Equip for HP,,,1-1.5m,5m,750k-1m,,,,Ninja Storm,100k,35-50m,,,,,,,,,,,,,,
,,Other Scrolls,,,,,,,Shadow Stars,20-33m,1.5m,,,,,,,,,,,,,,
Chaos Scroll,,,,495-500m,,,,,Triple Throw,5-15m,30-35m,,,,,,,,,,,,,,
White Scroll,500m,,,,,,,,,,,,,,,,,,,,,,,,
Clean Slate 1%,15-20m,,,,,,,,,,,,,,,,,,,,,,,,
Clean Slate 3%,40m,,,,,,,,,,,,,,,,,,,,,,,,
Clean Slate 5%,110m,,,,,,,,,,,,,,,,,,,,,,,,
Clean Slate 20%,200-220m,,,,,,,,,,,,,,,,,,,,,,,,
Pet Equip. for Speed,50-100k,,,200-250k,,,<110k,,,,,,,,,,,,,,,,,,
Pet Equip. for Jump,10k,,,10k,,,,,,,,,,,,,,,,,,,,,
Normal Witch Scroll,,,,,,,7.2-8m,,,,,,,,,,,,,,,,,,
,,Worthless Scrolls,,,,,,,,,,,,,,,,,,,,,,,
All DEF Scrolls,,,Occasionally 30%s are sold as dummy scrolls for 100-300k/ea. Generally you need bulk for them to sell,,,,,,,,,,,,,,,,,,,,,,
Shield for Luk,,,,,,,,,,,,,,,,,,,,,,,,,
Shield for Str,,,,,,,,,,,,,,,,,,,,,,,,,
Bottomwear for Jump,,,,,,,,,,,,,,,,,,,,,,,,,
<Weapon> for Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,
All MP Scrolls,,,,,,,,,,,,,,,,,,,,,,,,,
Shoes for DEX,,,,,,,,,,,,,,,,,,,,,,,,,
